Bat species,Virus genus,Virus subgenus,Country,Study type,#,+,Sample type,Sample tissue,Test,Study,🔗
"Scotophilus kuhlii","genus not specified","","China","cross-sectional","8","0","single","pooled tissue","PCR","Hu et al. 2017","https://www.doi.org/10.1038/s41598-017-11384-w"
"Hipposideros ruber","genus not specified","","Ghana","cross-sectional","3763","0","pooled","faecal, rectal, or anal","PCR","Annan et al. 2013","https://www.doi.org/10.3201/eid1903.121503"
"Cynopterus brachyotis","betacoronavirus","","Philippines","cross-sectional","28","11","single","faecal, rectal, or anal","PCR","Tsuda et al. 2012","https://www.doi.org/10.1007/s00705-012-1410-z"
"Eidolon dupreanum","genus not specified","","Madagascar","longitudinal","1","0","pooled","oropharyngeal","PCR","Razanajatovo et al. 2015","https://www.doi.org/10.1186/s12985-015-0271-y"
"Myotis formosus","genus not specified","","South Korea","cross-sectional","3","0","single","oropharyngeal","PCR","Lee et al. 2017","https://www.doi.org/10.1007/s00248-017-1033-8"
"Pipistrellus abramus","betacoronavirus","Merbecovirus","China","longitudinal","219","55","pooled","faecal, rectal, or anal","PCR","Lau et al. 2013","https://www.doi.org/10.1128/JVI.01055-13"
"","genus not specified","","India","cross-sectional","10","0","pooled","oropharyngeal","PCR","Yadav et al. 2020","https://www.doi.org/10.4103/ijmr.IJMR_795_20"
"Eidolon helvum","betacoronavirus","","Saudi Arabia","cross-sectional","25","1","single","faecal, rectal, or anal","PCR","Memish et al. 2013","https://www.doi.org/10.3201/eid1911.131172"
"Pipistrellus nathusii","genus not specified","","France","cross-sectional","2","0","pooled","intestine","PCR","Monchatre-leroy et al. 2017","https://www.doi.org/10.3390/v9120364"
"Myotis nattereri","genus not specified","","France","cross-sectional","1","0","pooled","faecal, rectal, or anal","PCR","Ar Gouilh et al. 2018","https://www.doi.org/10.1016/j.virol.2018.01.014"
"Hipposideros cineraceus","genus not specified","","Thailand","cross-sectional","5","0","pooled","urinary","PCR","Ar Gouilh et al. 2011","https://www.doi.org/10.1016/j.meegid.2011.06.021"
"Miniopterus schreibersii","genus not specified","","France","cross-sectional","1","0","pooled","faecal, rectal, or anal","PCR","Ar Gouilh et al. 2018","https://www.doi.org/10.1016/j.virol.2018.01.014"
"Coleura afra","genus not specified","","Gabon","cross-sectional","10","0","single","intestine","PCR","Maganga et al. 2020","https://www.doi.org/10.1038/s41598-020-64159-1"
"Hipposideros armiger","genus not specified","","Thailand","cross-sectional","3","0","single","urinary","PCR","Ar Gouilh et al. 2011","https://www.doi.org/10.1016/j.meegid.2011.06.021"
"Nyctalus leisleri","genus not specified","","France","cross-sectional","2","0","pooled","intestine","PCR","Monchatre-leroy et al. 2017","https://www.doi.org/10.3390/v9120364"
