Bat species,Virus genus,Virus subgenus,Country,Study type,#,+,Sample type,Sample tissue,Test,Study,🔗
"Rhinolophus ferrumequinum","genus not specified","","South Korea","cross-sectional","7","0","single","faecal, rectal, or anal","PCR","Lee et al. 2017","https://www.doi.org/10.1007/s00248-017-1033-8"
"Epomophorus labiatus","genus not specified","","Rwanda","cross-sectional","35","0","single","pooled swabs/samples","PCR","Nziza et al. 2020","https://www.doi.org/10.1007/s10393-019-01458-8"
"Glossophaga soricina","genus not specified","","Mexico","cross-sectional","27","0","pooled","pooled swabs/samples","PCR","Anthony et al. 2013","https://www.doi.org/10.1099/vir.0.049759-0"
"Myotis brandtii","genus not specified","","Italy","cross-sectional","1","0","pooled","pooled swabs/samples","PCR","Rizzo et al. 2017","https://www.doi.org/10.1186/s12917-017-1307-x"
"Dermanura watsoni","genus not specified","","Mexico","cross-sectional","7","0","pooled","pooled swabs/samples","PCR","Anthony et al. 2013","https://www.doi.org/10.1099/vir.0.049759-0"
"Pipistrellus tenuis","genus not specified","","China","cross-sectional","13","0","pooled","faecal, rectal, or anal","PCR","Liang et al. 2017","https://www.doi.org/10.1007/s12250-017-3976-9"
"Myotis daubentonii","alphacoronavirus","","Denmark","longitudinal","58","13","repeat","faecal, rectal, or anal","PCR","Lazov et al. 2018","https://www.doi.org/10.3390/v10090486"
"Artibeus lituratus","genus not specified","","Brazil","cross-sectional","9","0","single","lung or respiratory","PCR","Bittar et al. 2020","https://www.doi.org/10.1007/s00248-019-01391-x"
"Myotis emarginatus","betacoronavirus","Embecovirus","Luxembourg","cross-sectional","33","1","single","faecal, rectal, or anal","PCR","Pauly et al. 2017","https://www.doi.org/10.1128/AEM.01326-17"
"Pipistrellus savii","genus not specified","","Italy","cross-sectional","1","0","pooled","skin swab","PCR","Lecis et al. 2019","https://www.doi.org/10.1007/s11262-018-1614-8"
"Neoromicia nana","genus not specified","","South Africa","cross-sectional","7","0","single","faecal, rectal, or anal","PCR","Geldenhuys et al. 2013","https://www.doi.org/10.1089/vbz.2012.1101"
"Pipistrellus pipistrellus","genus not specified","","Belgium","cross-sectional","57","0","pooled","lung or respiratory","PCR","Van Gucht et al. 2014","https://www.doi.org/10.7589/2013-10-269"
"","alphacoronavirus","","Guinea","cross-sectional","13","1","single","faecal, rectal, or anal","PCR","Lacroix et al. 2020","https://www.doi.org/10.3390/v12080855"
"Eptesicus serotinus","genus not specified","","South Korea","cross-sectional","1","0","single","urinary","PCR","Lee et al. 2017","https://www.doi.org/10.1007/s00248-017-1033-8"
"Cynopterus sphinx","genus not specified","","China","cross-sectional","24","0","pooled","lung or respiratory","PCR","Lau et al. 2012","https://www.doi.org/10.1128/JVI.01305-12"
"Rhinolophus pusillus","alphacoronavirus","","China","cross-sectional","283","4","pooled","faecal, rectal, or anal","PCR","Wang et al. 2019","https://www.doi.org/10.3390/v11040379"
"Myotis volans","genus not specified","","United States of America","cross-sectional","22","0","single","faecal, rectal, or anal","PCR","Osborne et al. 2011","https://www.doi.org/10.1371/journal.pone.0019156"
"Hipposideros larvatus","genus not specified","","Thailand","cross-sectional","9","0","pooled","faecal, rectal, or anal","PCR","Wacharapluesadee et al. 2015","https://www.doi.org/10.1186/s12985-015-0289-1"
"Taphozous longimanus","genus not specified","","Thailand","cross-sectional","12","0","single","oropharyngeal","PCR","Ar Gouilh et al. 2011","https://www.doi.org/10.1016/j.meegid.2011.06.021"
"Hipposideros diadema","genus not specified","","Philippines","cross-sectional","1","0","single","faecal, rectal, or anal","Western Blot","Tsuda et al. 2012","https://www.doi.org/10.1007/s00705-012-1410-z"
"Eidolon helvum","alphacoronavirus","","Saudi Arabia","cross-sectional","25","4","single","faecal, rectal, or anal","PCR","Memish et al. 2013","https://www.doi.org/10.3201/eid1911.131172"
"","betacoronavirus","","Guinea","cross-sectional","2","1","single","faecal, rectal, or anal","PCR","Lacroix et al. 2020","https://www.doi.org/10.3390/v12080855"
"Vespadelus troughtoni","genus not specified","","Australia","longitudinal","31","0","pooled","pooled swabs/samples","PCR","Smith et al. 2016","https://www.doi.org/10.1007/s10393-016-1116-x"
"Nyctalus leisleri","genus not specified","","Spain","cross-sectional","11","0","pooled","oropharyngeal","PCR","Falcón et al. 2011","https://www.doi.org/10.1007/s00705-011-1057-1"
"Pipistrellus pipistrellus","genus not specified","","France","cross-sectional","2","0","pooled","faecal, rectal, or anal","PCR","Ar Gouilh et al. 2018","https://www.doi.org/10.1016/j.virol.2018.01.014"
"Scotophilus dinganii","genus not specified","","Kenya","cross-sectional","3","0","pooled","pooled swabs/samples","PCR","Tao et al. 2017","https://www.doi.org/10.1128/JVI.01953-16"
"Hipposideros cineraceus","genus not specified","","China","cross-sectional","9","0","single","pooled tissue","PCR","Xu et al. 2016","https://www.doi.org/10.1007/s12250-016-3727-3"
"Rhinolophus thomasi","genus not specified","","Thailand","cross-sectional","1","0","single","urinary","PCR","Ar Gouilh et al. 2011","https://www.doi.org/10.1016/j.meegid.2011.06.021"
"Myotis daubentonii","genus not specified","","Denmark","cross-sectional","2","0","single","faecal, rectal, or anal","PCR","Lazov et al. 2018","https://www.doi.org/10.3390/v10090486"
"Plecotus auritus","genus not specified","","Denmark","longitudinal","1","0","pooled","faecal, rectal, or anal","PCR","Lazov et al. 2018","https://www.doi.org/10.3390/v10090486"
"","betacoronavirus","Merbecovirus","China","cross-sectional","21","4","pooled","faecal, rectal, or anal","PCR","Luo et al. 2018","https://www.doi.org/10.1128/JVI.00116-18"
"","genus not specified","","Ghana","cross-sectional","6","0","single","faecal, rectal, or anal","PCR","Pfefferle et al. 2009","https://www.doi.org/10.3201/eid1509.090224"
"Nycteris gambiensis","betacoronavirus","Merbecovirus","Ghana","longitudinal","5","2","pooled","faecal, rectal, or anal","PCR","Annan et al. 2013","https://www.doi.org/10.3201/eid1903.121503"
"Rhinolophus macrotis","betacoronavirus","Sarbecovirus","China","cross-sectional","31","1","pooled","faecal, rectal, or anal","PCR","Wang et al. 2019","https://www.doi.org/10.3390/v11040379"
"Myotis capaccinii","genus not specified","","Spain","cross-sectional","1","0","pooled","faecal, rectal, or anal","PCR","Ar Gouilh et al. 2018","https://www.doi.org/10.1016/j.virol.2018.01.014"
"Hipposideros ruber","alphacoronavirus","","Gabon","cross-sectional","58","2","single","intestine","PCR","Maganga et al. 2020","https://www.doi.org/10.1038/s41598-020-64159-1"
"Rhinolophus macrotis","alphacoronavirus","","China","longitudinal","15","0","pooled","faecal, rectal, or anal","PCR","Zhou et al. 2018","https://www.doi.org/10.1038/s41586-018-0010-9"
"Plecotus auritus","genus not specified","","Belgium","cross-sectional","5","0","pooled","lung or respiratory","PCR","Van Gucht et al. 2014","https://www.doi.org/10.7589/2013-10-269"
"","genus not specified","","Indonesia","cross-sectional","2","0","single","faecal, rectal, or anal","PCR","Anindita et al. 2015","https://www.doi.org/10.1007/s00705-015-2342-1"
"Myotis daubentonii","alphacoronavirus","","Finland","cross-sectional","5","2","pooled","faecal, rectal, or anal","PCR","Kivistö et al. 2020","https://www.doi.org/10.1089/vbz.2018.2367"
"Triaenops menamena","genus not specified","","Madagascar","cross-sectional","21","2","single","intestine","PCR","Joffrin et al. 2020","https://www.doi.org/10.1038/s41598-020-63799-7"
"Rhinolophus borneensis","genus not specified","","Malaysian Borneo","longitudinal","6","0","pooled","faecal, rectal, or anal","PCR","Seltmann et al. 2017","https://www.doi.org/10.1007/s10393-017-1245-x"
"Rhinopoma hardwickii","genus not specified","","Malaysian Borneo","longitudinal","12","0","pooled","faecal, rectal, or anal","PCR","Seltmann et al. 2017","https://www.doi.org/10.1007/s10393-017-1245-x"
"Rousettus leschenaultii","genus not specified","","Thailand","cross-sectional","11","0","single","urinary","PCR","Ar Gouilh et al. 2011","https://www.doi.org/10.1016/j.meegid.2011.06.021"
"","genus not specified","","Singapore","cross-sectional","1","0","pooled","pooled swabs/samples","PCR","Mendenhall et al. 2017","https://www.doi.org/10.1111/tbed.12568"
"Rousettus madagascariensis","genus not specified","","Madagascar","cross-sectional","19","0","single","faecal, rectal, or anal","PCR","Razanajatovo et al. 2015","https://www.doi.org/10.1186/s12985-015-0271-y"
"Rousettus amplexicaudatus","genus not specified","","Thailand","cross-sectional","3","0","single","faecal, rectal, or anal","PCR","Wacharapluesadee et al. 2015","https://www.doi.org/10.1186/s12985-015-0289-1"
"Eumops glaucinus","betacoronavirus","","Brazil","cross-sectional","27","1","single","intestine","PCR","Góes et al. 2016","https://www.doi.org/10.1016/j.meegid.2016.07.034"
"Miniopterus fuliginosus","alphacoronavirus","Lineage 2","China","longitudinal","20","6","pooled","pooled swabs/samples","PCR","Du et al. 2016","https://www.doi.org/10.1007/s11427-016-5039-0"
"Rhinolophus pusillus","genus not specified","","Taiwan","longitudinal","30","2","pooled","faecal, rectal, or anal","PCR","Chen YiNing et al. 2018","https://www.doi.org/10.1142/S1682648518500063"
"Myotis capaccinii","genus not specified","","France","cross-sectional","6","0","pooled","faecal, rectal, or anal","PCR","Ar Gouilh et al. 2018","https://www.doi.org/10.1016/j.virol.2018.01.014"
"","genus not specified","","Kenya","cross-sectional","2","0","pooled","pooled swabs/samples","PCR","Tao et al. 2017","https://www.doi.org/10.1128/JVI.01953-16"
"Hipposideros abae","genus not specified","","Ghana","cross-sectional","604","0","pooled","faecal, rectal, or anal","PCR","Annan et al. 2013","https://www.doi.org/10.3201/eid1903.121503"
"Rhinolophus malayanus","genus not specified","","China","cross-sectional","15","0","pooled","pooled swabs/samples","PCR","Tang et al. 2006","https://www.doi.org/10.1128/JVI.00697-06"
"Myotis escalerai","genus not specified","","Spain","cross-sectional","2","0","pooled","faecal, rectal, or anal","PCR","Ar Gouilh et al. 2018","https://www.doi.org/10.1016/j.virol.2018.01.014"
"Hipposideros pomona","alphacoronavirus","","China","cross-sectional","523","37","pooled","faecal, rectal, or anal","PCR","Lau et al. 2012","https://www.doi.org/10.1128/JVI.01305-12"
"Eptesicus serotinus","genus not specified","","Netherlands","cross-sectional","1","0","pooled","faecal, rectal, or anal","PCR","Reusken et al. 2010","https://www.doi.org/10.1089/vbz.2009.0173"
"Myotis volans","genus not specified","","United States of America","cross-sectional","11","0","single","faecal, rectal, or anal","PCR","Osborne et al. 2011","https://www.doi.org/10.1371/journal.pone.0019156"
"Myotis pilosus","genus not specified","","China","cross-sectional","175","0","pooled","faecal, rectal, or anal","PCR","Lau et al. 2012","https://www.doi.org/10.1128/JVI.01305-12"
"Rhinolophus affinis","genus not specified","","China","cross-sectional","339","0","pooled","lung or respiratory","PCR","Lau et al. 2012","https://www.doi.org/10.1128/JVI.01305-12"
"Chaerephon pumilus","genus not specified","","South Africa","cross-sectional","3","0","single","faecal, rectal, or anal","PCR","Geldenhuys et al. 2013","https://www.doi.org/10.1089/vbz.2012.1101"
"Hipposideros larvatus","genus not specified","","Thailand","cross-sectional","1","0","single","urinary","PCR","Ar Gouilh et al. 2011","https://www.doi.org/10.1016/j.meegid.2011.06.021"
"Miniopterus schreibersii","alphacoronavirus","","China","cross-sectional","78","24","pooled","faecal, rectal, or anal","PCR","Liang et al. 2017","https://www.doi.org/10.1007/s12250-017-3976-9"
"Taphozous longimanus","genus not specified","","Thailand","cross-sectional","9","0","single","oropharyngeal","PCR","Ar Gouilh et al. 2011","https://www.doi.org/10.1016/j.meegid.2011.06.021"
"","genus not specified","","Cambodia","cross-sectional","1","0","single","faecal, rectal, or anal","PCR","Afelt et al. 2018","https://www.doi.org/10.1016/j.meegid.2017.12.009"
"Rhinolophus ferrumequinum","genus not specified","","France","cross-sectional","7","0","pooled","faecal, rectal, or anal","PCR","Ar Gouilh et al. 2018","https://www.doi.org/10.1016/j.virol.2018.01.014"
"Acerodon celebensis","genus not specified","","Indonesia","cross-sectional","18","0","single","faecal, rectal, or anal","PCR","Anindita et al. 2015","https://www.doi.org/10.1007/s00705-015-2342-1"
"Cynopterus sphinx","genus not specified","","China","cross-sectional","3","0","single","pooled swabs/samples","PCR","Lau et al. 2019","https://www.doi.org/10.3390/v11050423"
"","genus not specified","","India","cross-sectional","6","0","pooled","faecal, rectal, or anal","PCR","Yadav et al. 2020","https://www.doi.org/10.4103/ijmr.IJMR_795_20"
"Miniopterus pusillus","genus not specified","","China","longitudinal","450","0","pooled","faecal, rectal, or anal","PCR","Lau et al. 2013","https://www.doi.org/10.1128/JVI.01055-13"
"Myotis pilosus","betacoronavirus","Sarbecovirus","China","cross-sectional","21","0","single","lung or respiratory","PCR","Li et al. 2005","https://www.doi.org/10.1126/science.1118391"
"Hipposideros ruber","genus not specified","","Ghana","cross-sectional","8","0","single","faecal, rectal, or anal","PCR","Pfefferle et al. 2009","https://www.doi.org/10.3201/eid1509.090224"
"Miniopterus fuliginosus","genus not specified","","China","longitudinal","26","0","pooled","pooled swabs/samples","PCR","Du et al. 2016","https://www.doi.org/10.1007/s11427-016-5039-0"
"Nanonycteris veldkampii","betacoronavirus","","Guinea","cross-sectional","1","1","single","faecal, rectal, or anal","PCR","Lacroix et al. 2020","https://www.doi.org/10.3390/v12080855"
"Hipposideros pratti","alphacoronavirus","","China","longitudinal","7","0","pooled","faecal, rectal, or anal","PCR","Zhou et al. 2018","https://www.doi.org/10.1038/s41586-018-0010-9"
"Rhinolophus landeri","genus not specified","","Ghana","longitudinal","9","0","pooled","faecal, rectal, or anal","PCR","Corman et al. 2015","https://www.doi.org/10.1128/JVI.01755-15"
"Rhinolophus sinicus","genus not specified","","China","cross-sectional","1671","0","pooled","faecal, rectal, or anal","PCR","Lau et al. 2012","https://www.doi.org/10.1128/JVI.01305-12"
"Aselliscus stoliczkanus","genus not specified","","China","longitudinal","2","0","pooled","faecal, rectal, or anal","PCR","Lin et al. 2017","https://www.doi.org/10.1016/j.virol.2017.03.019"
"Miniopterus schreibersii","alphacoronavirus","","Bulgaria","cross-sectional","38","14","single","faecal, rectal, or anal","PCR","Drexler et al. 2010","https://www.doi.org/10.1128/JVI.00650-10"
"Eidolon helvum","genus not specified","","Kenya","cross-sectional","185","4","pooled","faecal, rectal, or anal","PCR","Waruhiu et al. 2017","https://www.doi.org/10.1007/s12250-016-3930-2"
"Haplonycteris fischeri","betacoronavirus","","Philippines","cross-sectional","6","1","single","intestine","Western Blot","Tsuda et al. 2012","https://www.doi.org/10.1007/s00705-012-1410-z"
"Rhinolophus hipposideros","betacoronavirus","","Slovenia","cross-sectional","36","14","pooled","faecal, rectal, or anal","PCR","Rihtaric et al. 2010","https://www.doi.org/10.1007/s00705-010-0612-5"
"","genus not specified","","Kenya","cross-sectional","1","0","pooled","pooled swabs/samples","PCR","Tao et al. 2017","https://www.doi.org/10.1128/JVI.01953-16"
"Myotis daubentonii","alphacoronavirus","","France","cross-sectional","20","1","pooled","faecal, rectal, or anal","PCR","Ar Gouilh et al. 2018","https://www.doi.org/10.1016/j.virol.2018.01.014"
"Myotis muricola","genus not specified","","China","cross-sectional","3","0","pooled","lung or respiratory","PCR","Lau et al. 2012","https://www.doi.org/10.1128/JVI.01305-12"
"Rhinolophus ferrumequinum","genus not specified","","China","cross-sectional","4","0","pooled","pooled tissue","PCR","Han et al. 2017","https://www.doi.org/10.1111/zph.12358"
"Rhinolophus mehelyi","genus not specified","","Spain","cross-sectional","1","0","pooled","oropharyngeal","PCR","Falcón et al. 2011","https://www.doi.org/10.1007/s00705-011-1057-1"
"Eidolon helvum","genus not specified","","Kenya","cross-sectional","7","0","pooled","pooled swabs/samples","PCR","Tao et al. 2017","https://www.doi.org/10.1128/JVI.01953-16"
"Rhinolophus sinicus","alphacoronavirus","","China","cross-sectional","45","16","pooled","faecal, rectal, or anal","PCR","Ge et al. 2016","https://www.doi.org/10.1007/s12250-016-3713-9"
"Eidolon helvum","genus not specified","","Guinea","cross-sectional","1","0","single","pooled swabs/samples","PCR","Lacroix et al. 2020","https://www.doi.org/10.3390/v12080855"
"Myotis californicus","genus not specified","","United States of America","cross-sectional","7","0","single","faecal, rectal, or anal","PCR","Osborne et al. 2011","https://www.doi.org/10.1371/journal.pone.0019156"
"Myotis thysanodes","genus not specified","","United States of America","cross-sectional","1","0","single","faecal, rectal, or anal","PCR","Osborne et al. 2011","https://www.doi.org/10.1371/journal.pone.0019156"
"Rhinopoma microphyllum","genus not specified","","Saudi Arabia","cross-sectional","1","0","single","oropharyngeal","PCR","Memish et al. 2013","https://www.doi.org/10.3201/eid1911.131172"
"Nyctalus plancyi","betacoronavirus","Sarbecovirus","China","cross-sectional","1","0","single","faecal, rectal, or anal","PCR","Li et al. 2005","https://www.doi.org/10.1126/science.1118391"
"Plecotus auritus","genus not specified","","Spain","cross-sectional","7","0","pooled","faecal, rectal, or anal","PCR","Falcón et al. 2011","https://www.doi.org/10.1007/s00705-011-1057-1"
"Pteropus rufus","betacoronavirus","","Madagascar","longitudinal","13","6","pooled","faecal, rectal, or anal","PCR","Razanajatovo et al. 2015","https://www.doi.org/10.1186/s12985-015-0271-y"
"Rhinolophus mehelyi","alphacoronavirus","","Bulgaria","cross-sectional","13","3","pooled","faecal, rectal, or anal","PCR","Drexler et al. 2010","https://www.doi.org/10.1128/JVI.00650-10"
"Dermanura watsoni","genus not specified","","Mexico","cross-sectional","2","0","pooled","pooled swabs/samples","PCR","Anthony et al. 2013","https://www.doi.org/10.1099/vir.0.049759-0"
"Miniopterus inflatus","genus not specified","","Gabon","cross-sectional","11","0","single","intestine","PCR","Maganga et al. 2020","https://www.doi.org/10.1038/s41598-020-64159-1"
"Myotis velifer","alphacoronavirus","","Mexico","cross-sectional","10","1","single","faecal, rectal, or anal","PCR","Rico-Chávez et al. 2015","https://www.doi.org/10.21753/vmoa.2.1.344"
"Nyctalus leisleri","genus not specified","","Spain","cross-sectional","23","0","pooled","faecal, rectal, or anal","PCR","Falcón et al. 2011","https://www.doi.org/10.1007/s00705-011-1057-1"
"Scotophilus kuhlii","alphacoronavirus","","Vietnam","cross-sectional","248","55","pooled","faecal, rectal, or anal","PCR","Berto et al. 2018","https://www.doi.org/10.1111/zph.12362"
"Myotis volans","genus not specified","","United States of America","cross-sectional","2","0","single","faecal, rectal, or anal","PCR","Dominguez et al. 2007","https://www.doi.org/10.3201/eid1309.070491"
"Lasionycteris noctivagans","genus not specified","","United States of America","cross-sectional","2","0","single","pooled swabs/samples","PCR","Dominguez et al. 2007","https://www.doi.org/10.3201/eid1309.070491"
"Eidolon helvum","genus not specified","","Kenya","cross-sectional","45","0","pooled","faecal, rectal, or anal","PCR","Waruhiu et al. 2017","https://www.doi.org/10.1007/s12250-016-3930-2"
"Rhinolophus ferrumequinum","genus not specified","","France","cross-sectional","2","0","pooled","faecal, rectal, or anal","PCR","Ar Gouilh et al. 2018","https://www.doi.org/10.1016/j.virol.2018.01.014"
"Rhinolophus thomasi","genus not specified","","Thailand","cross-sectional","1","0","single","faecal, rectal, or anal","PCR","Ar Gouilh et al. 2011","https://www.doi.org/10.1016/j.meegid.2011.06.021"
"Rhinolophus pusillus","genus not specified","","China","longitudinal","57","0","pooled","faecal, rectal, or anal","PCR","Lin et al. 2017","https://www.doi.org/10.1016/j.virol.2017.03.019"
"Myotis lucifugus","alphacoronavirus","Colacovirus","Canada","longitudinal","47","17","repeat","intestine","PCR","Subudhi et al. 2017","https://www.doi.org/10.1099/jgv.0.000898"
"Carollia perspicillata","genus not specified","","Brazil","cross-sectional","1","0","single","intestine","PCR","Bittar et al. 2020","https://www.doi.org/10.1007/s00248-019-01391-x"
"Rhinopoma hardwickii","genus not specified","","Saudi Arabia","cross-sectional","4","0","single","urinary","PCR","Memish et al. 2013","https://www.doi.org/10.3201/eid1911.131172"
"Cynopterus sphinx","genus not specified","","China","cross-sectional","2","0","pooled","pooled swabs/samples","PCR","Woo et al. 2006","https://www.doi.org/10.1016/j.virol.2006.02.041"
"Scotophilus heathii","alphacoronavirus","","Thailand","cross-sectional","8","2","single","faecal, rectal, or anal","PCR","Wacharapluesadee et al. 2015","https://www.doi.org/10.1186/s12985-015-0289-1"
"Pipistrellus abramus","alphacoronavirus","","China","cross-sectional","8","0","single","faecal, rectal, or anal","PCR","Zhou et al. 2018","https://www.doi.org/10.1038/s41586-018-0010-9"
"Phyllostomus discolor","genus not specified","","Mexico","cross-sectional","2","0","pooled","pooled swabs/samples","PCR","Anthony et al. 2013","https://www.doi.org/10.1099/vir.0.049759-0"
"Rhinolophus hipposideros","genus not specified","","Lebanon","cross-sectional","4","0","pooled","pooled swabs/samples","PCR","Shehata et al. 2016","https://www.doi.org/10.3201/eid2201.151397"
"Miniopterus magnater","alphacoronavirus","","China","cross-sectional","25","3","pooled","pooled swabs/samples","PCR","Chu et al. 2006","https://www.doi.org/10.1099/vir.0.82203-0"
"Myotis nattereri","alphacoronavirus","","Italy","cross-sectional","22","1","single","faecal, rectal, or anal","PCR","Rizzo et al. 2017","https://www.doi.org/10.1186/s12917-017-1307-x"
"Vampyressa pusilla","genus not specified","","Brazil","cross-sectional","1","1","single","intestine","PCR","Góes et al. 2016","https://www.doi.org/10.1016/j.meegid.2016.07.034"
"Murina leucogaster","genus not specified","","China","cross-sectional","5","0","single","pooled swabs/samples","PCR","Tang et al. 2006","https://www.doi.org/10.1128/JVI.00697-06"
"Myotis horsfieldii","genus not specified","","China","longitudinal","7","0","pooled","faecal, rectal, or anal","PCR","Lau et al. 2013","https://www.doi.org/10.1128/JVI.01055-13"
"Nycteris gambiensis","genus not specified","","Ghana","longitudinal","91","0","pooled","faecal, rectal, or anal","PCR","Corman et al. 2015","https://www.doi.org/10.1128/JVI.01755-15"
"Nyctalus noctula","genus not specified","","China","cross-sectional","2","0","pooled","pooled swabs/samples","PCR","Lau et al. 2005","https://www.doi.org/10.1073/pnas.0506735102"
"Eidolon helvum","betacoronavirus","","Guinea","cross-sectional","6","1","single","faecal, rectal, or anal","PCR","Lacroix et al. 2020","https://www.doi.org/10.3390/v12080855"
"Vampyressa nymphaea","genus not specified","","Costa Rica","cross-sectional","6","0","pooled","faecal, rectal, or anal","PCR","Moreira-Soto et al. 2015","https://www.doi.org/10.1111/zph.12181"
"Artibeus jamaicensis","alphacoronavirus","","Mexico","cross-sectional","65","1","single","faecal, rectal, or anal","PCR","Rico-Chávez et al. 2015","https://www.doi.org/10.21753/vmoa.2.1.344"
"Epomophorus labiatus","genus not specified","","Rwanda","cross-sectional","6","0","single","pooled swabs/samples","PCR","Nziza et al. 2020","https://www.doi.org/10.1007/s10393-019-01458-8"
"Hipposideros lylei","genus not specified","","Thailand","cross-sectional","2","0","single","faecal, rectal, or anal","PCR","Ar Gouilh et al. 2011","https://www.doi.org/10.1016/j.meegid.2011.06.021"
"Tylonycteris pachypus","betacoronavirus","","China","cross-sectional","78","14","pooled","faecal, rectal, or anal","PCR","Liang et al. 2017","https://www.doi.org/10.1007/s12250-017-3976-9"
"Eptesicus serotinus","betacoronavirus","Merbecovirus","China","cross-sectional","26","9","pooled","pooled tissue","PCR","Han et al. 2017","https://www.doi.org/10.1111/zph.12358"
"","genus not specified","","India","cross-sectional","18","0","pooled","oropharyngeal","PCR","Yadav et al. 2020","https://www.doi.org/10.4103/ijmr.IJMR_795_20"
"Artibeus jamaicensis","alphacoronavirus","","Mexico","cross-sectional","253","1","single","faecal, rectal, or anal","PCR","Rico-Chávez et al. 2015","https://www.doi.org/10.21753/vmoa.2.1.344"
"Cynopterus sphinx","betacoronavirus","Nobecovirus","Thailand","cross-sectional","7","4","single","faecal, rectal, or anal","PCR","Wacharapluesadee et al. 2015","https://www.doi.org/10.1186/s12985-015-0289-1"
"Plecotus auritus","genus not specified","","Germany","longitudinal","118","0","pooled","pooled swabs/samples","PCR","Fischer et al. 2016","https://www.doi.org/10.1016/j.meegid.2015.11.010"
"Mops condylurus","genus not specified","","Rwanda","cross-sectional","12","0","single","pooled swabs/samples","PCR","Nziza et al. 2020","https://www.doi.org/10.1007/s10393-019-01458-8"
"Myotis nattereri","alphacoronavirus","","France","cross-sectional","34","3","pooled","faecal, rectal, or anal","PCR","Ar Gouilh et al. 2018","https://www.doi.org/10.1016/j.virol.2018.01.014"
"Scotophilus heathii","coinfection","","Myanmar","cross-sectional","12","3","pooled","faecal, rectal, or anal","PCR","Valitutto et al. 2020","https://www.doi.org/10.1371/journal.pone.0230802"
"Macroglossus minimus","betacoronavirus","","Philippines","cross-sectional","2","1","single","intestine","Western Blot","Tsuda et al. 2012","https://www.doi.org/10.1007/s00705-012-1410-z"
"","genus not specified","","Kenya","cross-sectional","5","0","pooled","faecal, rectal, or anal","PCR","Tong et al. 2009","https://www.doi.org/10.3201/eid1503.081013"
"Miniopterus fuliginosus","alphacoronavirus","","Japan","cross-sectional","4","1","pooled","faecal, rectal, or anal","PCR","Shirato et al. 2012","https://www.doi.org/10.1007/s11262-011-0661-1"
"Hipposideros gigas","genus not specified","","Gabon","cross-sectional","25","0","single","faecal, rectal, or anal","PCR","Maganga et al. 2020","https://www.doi.org/10.1038/s41598-020-64159-1"
"Nyctalus leisleri","genus not specified","","Spain","cross-sectional","1","0","pooled","faecal, rectal, or anal","PCR","Ar Gouilh et al. 2018","https://www.doi.org/10.1016/j.virol.2018.01.014"
"Rhinolophus pusillus","betacoronavirus","Sarbecovirus","China","cross-sectional","45","30","single","intestine","PCR","Hu et al. 2018","https://www.doi.org/10.1038/s41426-018-0155-5"
"Carollia perspicillata","alphacoronavirus","","Mexico","cross-sectional","65","1","single","faecal, rectal, or anal","PCR","Rico-Chávez et al. 2015","https://www.doi.org/10.21753/vmoa.2.1.344"
"Rhinolophus alcyone","genus not specified","","Ghana","longitudinal","4","0","pooled","faecal, rectal, or anal","PCR","Corman et al. 2015","https://www.doi.org/10.1128/JVI.01755-15"
"Eptesicus fuscus","genus not specified","","United States of America","cross-sectional","3","0","single","faecal, rectal, or anal","PCR","Dominguez et al. 2007","https://www.doi.org/10.3201/eid1309.070491"
"Epomophorus labiatus","genus not specified","","Rwanda","cross-sectional","17","0","single","pooled swabs/samples","PCR","Nziza et al. 2020","https://www.doi.org/10.1007/s10393-019-01458-8"
"Pipistrellus kuhlii","genus not specified","","Saudi Arabia","cross-sectional","9","0","single","oropharyngeal","PCR","Memish et al. 2013","https://www.doi.org/10.3201/eid1911.131172"
"Pteropus lylei","genus not specified","","Thailand","longitudinal","44","11","pooled","faecal, rectal, or anal","PCR","Wacharapluesadee et al. 2018","https://www.doi.org/10.1186/s12985-018-0950-6"
"Cynopterus sphinx","genus not specified","","China","cross-sectional","15","0","pooled","lung or respiratory","PCR","Poon et al. 2005","https://www.doi.org/10.1128/JVI.79.4.2001-2009.2005"
"Triaenops afer","alphacoronavirus","","Kenya","cross-sectional","15","6","pooled","pooled swabs/samples","PCR","Tao et al. 2017","https://www.doi.org/10.1128/JVI.01953-16"
"Eidolon helvum","betacoronavirus","","Kenya","cross-sectional","25","1","pooled","faecal, rectal, or anal","PCR","Waruhiu et al. 2017","https://www.doi.org/10.1007/s12250-016-3930-2"
"Ptenochirus jagori","betacoronavirus","","Philippines","cross-sectional","21","14","single","faecal, rectal, or anal","Western Blot","Tsuda et al. 2012","https://www.doi.org/10.1007/s00705-012-1410-z"
"Rhinolophus hipposideros","alphacoronavirus","","China","cross-sectional","4","1","single","faecal, rectal, or anal","PCR","He et al. 2014","https://www.doi.org/10.1128/JVI.00631-14"
"Rhinolophus sinicus","betacoronavirus","Sarbecovirus","China","longitudinal","1337","126","pooled","faecal, rectal, or anal","PCR","Lau et al. 2010","https://www.doi.org/10.1128/JVI.02219-09"
"Hipposideros ruber","genus not specified","","Kenya","cross-sectional","2","0","pooled","faecal, rectal, or anal","PCR","Tong et al. 2009","https://www.doi.org/10.3201/eid1503.081013"
"Cardioderma cor","genus not specified","","Kenya","cross-sectional","10","0","pooled","faecal, rectal, or anal","PCR","Tong et al. 2009","https://www.doi.org/10.3201/eid1503.081013"
